name,state_name,rank,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
Auburn University,Alabama,1,54400,104500,51,31
University of Alabama in Huntsville,Alabama,2,57500,103900,59,45
The University of Alabama,Alabama,3,52300,97400,50,15
Tuskegee University,Alabama,4,54500,93500,61,30
Samford University,Alabama,5,48400,90500,52,3
Spring Hill College,Alabama,6,46600,89100,53,12
Birmingham Southern College,Alabama,7,49100,88300,48,27
University of Alabama at Birmingham,Alabama,8,48600,87200,57,17
University of South Alabama,Alabama,9,47700,86400,56,17
Alabama A&M University,Alabama,10,48700,83500,58,20
Troy University,Alabama,11,44500,81500,60,8
Jacksonville State University,Alabama,12,43800,80000,61,7
Auburn University at Montgomery,Alabama,13,45000,79600,61,12
Huntingdon College,Alabama,14,42400,78900,69,14
Oakwood University,Alabama,15,43500,78800,71,16
Athens State University,Alabama,15,45000,78800,51,9
University of West Alabama,Alabama,17,42700,76100,61,4
University of North Alabama,Alabama,18,43000,75600,61,6
University of Mobile,Alabama,19,40600,74100,77,7
Alabama State University,Alabama,20,39800,71500,61,16
Faulkner University,Alabama,21,39400,71300,61,2
University of Montevallo,Alabama,22,38900,70700,49,7
Judson College,Alabama,23,37900,67600,65,13
Amridge University,Alabama,24,35700,65900,-1,0
Miles College,Alabama,25,34800,65100,64,19
University of Alaska Fairbanks,Alaska,1,59100,101800,54,20
University of Alaska Anchorage,Alaska,2,56000,101000,57,10
Alaska Pacific University,Alaska,3,50300,90000,67,6
Embry-Riddle Aeronautical University-Prescott,Arizona,1,65600,117900,59,43
University of Arizona,Arizona,2,56100,101000,51,23
Arizona State University-Tempe,Arizona,3,54500,100900,52,30
Northern Arizona University,Arizona,4,49600,90000,56,12
Arizona Christian University,Arizona,5,42600,76600,-1,7
Ottawa University-Phoenix,Arizona,6,42000,74600,54,0
Prescott College,Arizona,7,41200,73500,69,0
University of Arkansas,Arkansas,1,52500,98000,49,18
Hendrix College,Arkansas,2,48100,90300,58,33
University of Arkansas for Medical Sciences,Arkansas,3,51700,89100,84,3
Harding University,Arkansas,4,49200,88600,47,10
John Brown University,Arkansas,5,47000,82700,53,9
Arkansas State University-Main Campus,Arkansas,6,44600,81400,52,7
University of Arkansas at Little Rock,Arkansas,7,45600,80800,55,13
Ouachita Baptist University,Arkansas,8,44100,80200,58,18
Southern Arkansas University Main Campus,Arkansas,9,42800,80100,56,53
Henderson State University,Arkansas,10,42900,79800,57,5
University of Central Arkansas,Arkansas,10,44900,79800,52,8
University of Arkansas at Monticello,Arkansas,12,43500,78300,61,2
Arkansas Tech University,Arkansas,13,45000,76900,54,7
University of the Ozarks,Arkansas,14,42300,74500,58,16
Lyon College,Arkansas,15,41200,74300,53,33
University of Arkansas-Fort Smith,Arkansas,16,40700,71100,55,9
University of Arkansas at Pine Bluff,Arkansas,17,40500,70500,67,22
Central Baptist College,Arkansas,18,36900,68000,-1,3
Philander Smith College,Arkansas,19,34600,61200,-1,26
Harvey Mudd College,California,1,88800,158200,55,85
Samuel Merritt University,California,2,91200,154100,90,0
California Institute of Technology,California,3,84100,151600,53,97
Stanford University,California,4,79000,145200,56,51
Charles R Drew University of Medicine and Science,California,5,78300,135700,-1,3
Santa Clara University,California,6,69900,134700,44,29
University of California-Berkeley,California,7,70700,131800,49,36
California State University Maritime Academy,California,8,70500,129600,57,15
Claremont McKenna College,California,9,68500,125400,43,16
University of California-San Diego,California,10,63400,123700,52,58
University of Southern California,California,11,64500,120600,47,23
California Polytechnic State University-San Luis Obispo,California,12,65600,119500,51,38
Pomona College,California,13,63800,117200,47,37
University of California-Santa Barbara,California,14,59700,116300,47,29
University of California-Los Angeles,California,15,62000,116100,48,31
University of California-Irvine,California,16,59600,116000,49,34
San Jose State University,California,17,63000,114700,53,28
Loyola Marymount University,California,18,58500,113300,39,9
University of California-Davis,California,19,61500,112600,52,35
Menlo College,California,20,61900,112400,59,0
California State Polytechnic University-Pomona,California,21,57700,110800,50,30
Saint Mary's College of California,California,21,59900,110800,51,5
University of San Francisco,California,23,60600,109900,52,6
Golden Gate University-San Francisco,California,24,59200,109800,49,3
